2020-09-04 08:53:38.657 [main] INFO  c.dong.springboot_empty.SpringbootEmptyApplication - Starting SpringbootEmptyApplication on DESKTOP-NEGHJBV with PID 19012 (D:\workspaces\myself\springboot_empty\target\classes started by asheng in D:\workspaces\myself\springboot_empty)
2020-09-04 08:53:38.661 [main] INFO  c.dong.springboot_empty.SpringbootEmptyApplication - No active profile set, falling back to default profiles: default
2020-09-04 08:53:39.578 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.dong.springboot_empty]' package. Please check your configuration.
2020-09-04 08:53:40.042 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9092 (http)
2020-09-04 08:53:40.053 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9092"]
2020-09-04 08:53:40.053 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-04 08:53:40.053 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-04 08:53:40.179 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-09-04 08:53:40.179 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1471 ms
2020-09-04 08:53:40.383 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-04 08:53:40.515 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-09-04 08:53:42.462 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-09-04 08:53:42.724 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9092"]
2020-09-04 08:53:42.753 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9092 (http) with context path ''
2020-09-04 08:53:42.764 [main] INFO  c.dong.springboot_empty.SpringbootEmptyApplication - Started SpringbootEmptyApplication in 4.599 seconds (JVM running for 8.173)
2020-09-04 08:53:50.800 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-09-04 08:53:50.800 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
